,Name,category,country,num_episodes,aired,watchers,rating,num_raters,cast_names,genre_names,tag_names,synopsis,url,sid,num_reviews
952,sad love story,Drama,South Korea,20.0,2005,3270,7.8,1573,"Yeon Jung Hoon,Kim Hee Sun,Kwon Sang Woo,Kim Yun Joo,Hong Seok Cheon,Kim Hee Jung","Romance,Life,Drama,Melodrama "," Lovers Separated,Singer-Songwriter,Tearjerker,Disability,Blindness,Second Chance,Rich Male Lead,First Love,Filmed Abroad,Love Triangle  ","Sad Sonata is a love story about two men and one woman. The young Joon Young, who was raised by his mother who sold liquor to American soldiers, met the blind Hae In and they became childhood sweethearts. Then, Hae In immigrated to the U.S. following her aunt and her uncle, an American soldier that married her aunt. There she met Gun Woo, who was Joon Young's best friend and the son of a very rich man. After she received a letter from Hwa Jung saying that Joon Young is dead, she accepted Gun Woo's love. After an operation, Hae In was able to see again . The story picks up again when composer Joon Young, singer Hae In, and music producer Gun Woo all meet again.",https://i.mydramalist.com/qwJlBc.jpg?v=1,1178.0,510.0
953,come! jang bo ri,Drama,South Korea,52.0,2014,4386,7.8,1634,"Oh Yeon Seo,Kim Ji Hoon,Lee Yoo Ri,Oh Chang Seok,Sung Hyuk,Han Seung Yeon","Romance,Drama,Family,Melodrama "," Soap Opera,Rich Kid,Adoption,Family Secret,Lost Child,Childhood Friends,Rich Man/Poor Woman  ","Can a long-lost daughter find happiness when she is reunited with her parents after 20 years? In a complicated twist, a young woman from a wealthy family goes missing and is raised by a foster mom instead of her own parents. Meanwhile, her wealthy family adopts a girl to overcome the loss of their daughter. The tensions that arise when the daughter finds her real family results in a journey of understanding and forgiveness.",https://i.mydramalist.com/1wlb7c.jpg?v=1,8471.0,933.0
954,love designer,Drama,China,45.0,2020,11573,7.9,4771,"Dilraba Dilmurat,Johnny Huang,Zhang Xin Yu,Yi Da Qian,Hu Bing,Christine Zheng","Business,Romance "," Fashion Designer,Male Chases Female First,Strong Female Lead,Love/Hate Relationship,Competition,Slow Burn Romance,Entrepreneur,Steamy Kiss,Conflict,Naive Female Lead  ","It tells the love story between a fashion designer and a man in the e-commerce industry.
Fashion designer Zhou Fang  met Song Lin because of a lawsuit. They were a mismatch from the very start but had to cooperate due interdependence in their lives and their work. Having two hard-headed people together was bound to result in conflicts but in the process of competing with each other, Zhou Fang and Song Lin gradually fall in love. As they seek to be better versions of themselves, Zhou Fang works hard to create a sophisticated brand while Song Lin who prioritizes efficiency above all pushes for a breakthrough in his career.",https://i.mydramalist.com/1gAAKc.jpg?v=1,27635.0,1739.0
955,ishi no mayu,Drama,Japan,5.0,2015,1907,7.8,738,"Kimura Fumino,Aoki Munetaka,Danta Yasunori,Watanabe Ikkei,Hira Takehiro,Kitami Toshiyuki","Thriller,Mystery,Drama "," Adapted From A Novel,Murder,Investigation,Suspense,Revenge,Satsujin Bunsekihan Series,Detective Female Lead,Cops Vs Criminals,Miniseries,Father-Daughter Relationship  ",A murder takes places with the victim found cemented. The killer brazenly calls the police department to identify himself as Toremi and mock the detectives. Soon a second murder is discovered with the victim also cemented. Toko Kisaragi becomes Toremi's negotiator.  She is a detective who just transferred to 11 Section of the 1st Investigation Division at the Tokyo Metropolitan Police Department. Her father was also a detective.,https://i.mydramalist.com/ZyKN7_4c.jpg?v=1,12270.0,307.0
956,orthros no inu,Drama,Japan,9.0,2009,5285,7.8,2523,"Nishikido Ryo,Takizawa Hideaki,Mizukawa Asami,Nakahara Takeo,Harada  Natsuki ,Haru","Thriller,Mystery,Psychological,Supernatural "," Teacher Supporting Character,Morally Ambiguous Male Lead,Police Department,Kind-hearted Male Lead,Superpower,Moral Dilemma,Mutant,Villain Likes The Lead,Fugitive,Supernatural Phenomena  ","Ryuzaki Shinji, who possesses a ""God Hand"", the power to heal wounds and illnesses just by touching the patient, is, in fact, a dark introvert who does not reveal his true self to others. Aoi Ryosuke, who possesses the ""Demon's Hand"", the power to kill a person just by touching him, is as kind and pure as an angel. When the demon meets the god, a fatal battle begins.
Detective Hasebe Nagisa gets caught by the criminals during a deep cover operation. Ryosuke, a man she does not even know, comes to save her and she witnesses his ""Demon's Hand"" in action. Thereafter, she discovers by coincidence the existence of Shinji's ""God Hand"" and brings the two together. Little did she know that this would cause great disorder to the world and even to her own life.",https://i.mydramalist.com/YYODBc.jpg?v=1,84.0,750.0
957,the destiny of white snake,Drama,China,61.0,2018,5320,7.9,1454,"Yang Zi,Ren Jia Lun,Mao Zi Jun,Li Man,Carina Lau,Angie Chiu","Historical,Romance,Wuxia,Fantasy "," Chinese Mythology,Spirit,Transformation,Snake,Interspecies Romance,Immortal,Based On A Legend,Healing Power,Deity,Awkward Female Lead  ","Master of the medicinal valley and disciple of the Jade Emperor, Zi Xuan was well on his way to becoming a deity when he met Bai Yao Yao. A little white snake spirit roaming the mortal realm as a human, Yao Yao had no intention of falling in love with a mortal but sometimes, the best things in life happen when we least expect them.

Entwined by fate, Zi Xuan and Yao Yao should have had a beautiful life together but when demon catcher, Fa Hai, finds the two together, he becomes obsessed with tearing them apart. Desperate to save the life of the mortal she loves, Yao Yao breaks a heavenly seal, inadvertently releasing chaos and destruction upon the human world. In order to save the world, Zi Xuan sacrifices himself, leaving a devastated Yao Yao to face a dismal eternity alone.

A thousand years pass before Yao Yao allows herself to walk among men once more. As she travels, she finds Zi Xuan, now reborn as Xu Xian. Though Xu Xian remembers nothing from his past life, Yao Yao remembers everything and vows that this time, things will be different.",https://i.mydramalist.com/bK5y6c.jpg?v=1,16338.0,515.0
958,matrimonial chaos,Drama,South Korea,32.0,2018,3371,7.9,951,"Cha Tae Hyun,Bae Doo Na,Lee El,Son Seok Koo,Wi Ha Joon,Moon Sook","Comedy,Romance,Drama,Family "," Cheerful Female Lead,Grandma-Grandson Relationship,Failing Marriage,Married Couple,Infidelity,Divorce,Eccentric Male Lead,Multiple Couples  ","Jo Seok Moo graduated from a prestigious university, but he pursued his dream of becoming a musician rather than finding a traditional job. Jo Seok Moo did not become a musician and because of his advanced age, he could not land a decent job. He then began working at a security service company. There, he met Kang Hwi Ru for the first time as his customer. They have been married for 3 years now, but Jo Seok Moo asks for a divorce. They do not have very much in common. Jo Seok Moo has a stubborn personality and enjoys spending time alone, while Kang Hwi Ru is easy-going and has a positive personality.
Another married couple, Jin Yoo Young and Lee Jang Hyun appear. Jin Yoo Young is Jo Seok Moos first love.",https://i.mydramalist.com/Jx4LYc.jpg?v=1,22351.0,653.0
959,black cinderella,Drama,Japan,8.0,2021,3494,7.8,1254,"Riko,Kamio Fuju,Itagaki Mizuki,Erica,Nagami Rea,Suzuki Miu","Romance,School,Youth "," Beauty Standards,Self-development,Dream,Beauty Pageant,High School,Web Series,Student,Accident,Transfer Student,Love Triangle  ","Kamiya Manaha is a girl with little self-confidence. Her childhood dream was to enter the Miss Seiran Contest, a beauty pageant for high-school students. 
Despite seeing herself as an ordinary girl, she enters the pageant. 
She then meets Tachibana Keigo, a handsome, self-absorbed boy and Shimamura Sora, a mysterious transfer student. 
At contest time, Manaha cannot keep her excitement in, as she is just steps away from the very stage shes dreamed about for so long.",https://i.mydramalist.com/RzbeY_4c.jpg?v=1,39445.0,787.0
960,the world of fantasy,Drama,China,36.0,2021,3916,7.9,873,"Fan Cheng Cheng,Cheng Xiao,Liu Yi Tong,Nie Zi Hao,Ma Yue,Vin Zheng","Action,Historical,Romance,Fantasy "," Xuanhuan,Web Series,Amnesia,Adapted From A Novel,Forbidden Love,Fantasy World,Hidden Identity,Conspiracy,Multiple Couples,Childhood Friends  ","Qin Lie, a young man with amnesia, was involved in a conspiracy due to an accident. After experiencing all kinds of hardships, he and Ling Yushi, his childhood sweetheart, gradually grew up in the spirit domain. The story of the new journey. This group of passionate teenagers, in the search for the truth of their life experience and the pursuit of a higher power, continue to meet new mentors and friends and jointly guard the spiritual domain.",https://i.mydramalist.com/q3dRz_4c.jpg?v=1,25657.0,349.0
961,promise cinderella,Drama,Japan,10.0,2021,2352,7.8,916,"Nikaido Fumi,Maeda Gordon,Iwata Takanori,Matsui Rena,Kaneko Nobuaki,Mita Yoshiko","Comedy,Romance,Drama "," Older Woman/Younger Man,Rich Male Lead,First Love,Adapted From A Manga,Love Triangle,Rich Man/Poor Woman,Debt,Poor Female Lead,Character Development,Divorced Female Lead  ","Hayame's happily married life comes to an abrupt end and she is left alone, penniless and homeless! Things couldn't get any worse, until she runs into rich high-school brat Issei, whom she had previously humiliated! Sparks fly as two worlds collide in this unlikely Cinderella story!",https://i.mydramalist.com/qdApD_4c.jpg?v=1,41226.0,730.0
962,the justice,Drama,China,42.0,2021,2019,7.8,378,"Zhang Xin Cheng,Elvira Cai,Gu Zi Cheng,Zhang Zhi Jian,Wang Zi Jian,Liang Jie","Business,Romance,Life,Drama "," Finance Industry,Secondary Couple,Hardworking Male Lead,Bank,Soulmates,Chinese Republican Era,Married Couple  ","From humble beginnings, Cheng Yi Zhi has always struggled to find his place among the hustle and bustle of 1930s Shanghai. With very little to his name, he has managed to eke out a meager living by working in the industrial and commercial shops at the heart of the city. But after a chance encounter with Wu Ru Fu, a well-established banker, and his daughter, Li Zi, Yi Zhi finds a dream and the will to pursue it, something hes never had before. Giving up his life in the shops, Yi Zhi enters the world of finance. With his quick wit and natural skill, he soon catches the eye of Boss Huang, one of the banking industrys biggest players. Quickly earring Boss Huangs trust, Yi Zhi soon finds himself the bosss closest confidante. Privy to Huangs darkest secrets, Yi Zhi uncovers a truth so shocking, it drives him from Huangs side. With Li Zis support and encouragement, Yi Zhi is determined to make his own way in the world of finance, leaving Boss Huang to his own nefarious dealings. But Huang isnt one to be turned away so lightly.

Seeking to destroy the man who once stood by his side, Huang will stop at nothing to bring Yi Zhi down. But the righteous young banker wont go down without a fight. With the underground party of industrialists backing him, Yi Zhi faces off against Boss Huang; but will the combined strength of the people be enough to overthrow this mighty foe?",https://i.mydramalist.com/4Vz0k_4c.jpg?v=1,33457.0,210.0
963,sweet first love,Drama,China,24.0,2020,8262,7.8,3351,"Ryan Ren,Kabby Hui,Zheng Fan Xing,Gao Yu Fei,Xiao Kai Zhong,Liu Zhe Er","Comedy,Romance,Youth,Drama "," Cold Male Lead,Orphan Female Lead,Smart Male Lead,Love Triangle,Secret Crush,Fake Step-Sibling Love,Family Secret,Car Accident,Cohabitation,Amnesia  ","When she was only seven, Zhuo Yifeng witnessed both of her parents die in a car accident. The extreme trauma causes her to suffer from selective amnesia as she completely blocks out her past experience. Zhuo Yifeng's parents leaves her under the care of their friend Su Zijian whose young son Su Muyun is two years younger.
Assuming a new identity, Su Nianfeng  grows up alongside her younger brother Su Muyun except their relationship is less than friendly. Su Muyun is a legendary name at school while Su Nianfeng is someone easily ignored. During her third year, Su Nianfeng who had no goals in life becomes determined to apply for her medical school because of her good friend Le Diyin. Le Diyin is her close confidante. He is warm as the sunshine but suffers from a strange disease.
Su Muyun is mean to Su Nianfeng on the surface but silently stands by her as she reaches for her dreams. As they enter university, popular girl Ouyang Qingxue exposes a so-called truth that causes Su Niangfeng to misunderstand the family that adopted her. She leaves home to live independently in search for the truth.",https://i.mydramalist.com/081m6_4c.jpg?v=1,29668.0,1253.0
964,our skyy,Drama,Thailand,5.0,2018,15949,7.9,7036,"Gun Atthaphan Phunsawat,Off Jumpol Adulkittiporn,Chimon Wachirawit Ruangwiwat,Pluem Purim Rattanaruangwattana,Frank Thanatsaran Samthonglai,Drake Sattabut Laedeke","Comedy,Romance,Drama "," Omnibus,Multiple Mains,Multiple Couples,Body Swap,Gay Male Lead,Bisexual Male Lead,LGBTQ+,Miniseries,Gay Romance,Gay Supporting Character  ","A five-episode anthology that serves as a continuation of the stories of Pick and Rome (Secret Love: Puppy Honey), In and Sun (My Dear Loser), Tee and Mork ('Cause You're My Boy), Kao and Pete (Kiss Me Again), and Arthit and Kongpob (SOTUS).

Pick & Rome
After a failed Loi Krathong date night, Pick and Rome wake up to find that they've switched bodies.

In & Sun
In has come to apologize to Sun and plead for another chancebut Sun might have already found someone else.

Tee & Mork
As their third-anniversary approaches, Tee suspects that Mork may be cheating on him.

Pete & Kao
Kao drags Pete through a checklist of activities to counteract bad luck after an old woman predicts their breakup.

Kongpob & Arthit
When Kongpob is given a prestigious opportunity to work abroad, Arthit worries about the future of their relationship.",https://i.mydramalist.com/yEK73c.jpg?v=1,23194.0,1379.0
965,ashi girl,Drama,Japan,12.0,2017,3496,7.9,1177,"Kuroshima Yuina,Ito Kentaro,Matsushita Yuya,Tomosaka Rie,Kawaei Rina,Nakajima Hiroko","Historical,Comedy,Romance,Sci-Fi "," Time Travel,Adapted From A Manga,Determined Female Lead,Calm Male Lead,Sengoku Period,Nice Male Lead,Female Chases Male First,Strong Male Lead,Cross-Dressing,Power Struggle  ","Hayakawa Yui is a 16-year-old girl whose only strong point is her ability to run fast. When her reclusive but genius younger brother invents a time machine, she accidentally gets sent to the Warring States era and meets the young lord of the Hagi clan, Hagi Tadakiyo, and falls in love with him. Upon returning back to her modern time, she discovers from her high-school teacher that the Hagi clan are doomed to be wiped out in history. Desperate to save this young lord, she finds her way back to the Warring States era, and so her adventure there begins.",https://i.mydramalist.com/EYbeOc.jpg?v=1,18585.0,593.0
966,plus nine boys,Drama,South Korea,14.0,2014,10718,7.8,3895,"Kim Young Kwang,Oh Jung Se,Yook Sung Jae,Choi Ro Woon,Kyung Soo Jin,Yoo Da In","Romance,Family "," Male Chases Female First,Friends To Lovers,Multiple Couples,Male Centered Plot,Superstition,Love Triangle,Office Romance,Bromance,Player Male Lead,Misunderstanding  ","There is a common Korean belief that anything plus nine (gu in Korean) is always ""cursed"" and brings about more hardship than usual, including the ninth year of every decade in one's life.
Gu Gwang Soo is 39 years old. He was once the brilliant PD of the nation's top live music program. But his fall from grace occurs when members of an indie band he'd cast drop their pants onstage and flash the entire country during a live broadcast (based on a real-life incident on MBC in 2005). Gwang Soo often thinks about his ex-girlfriend Joo Da In who suddenly broke up with him one day and left him heartbroken. When they meet again, she is a single mother whose life revolves around her young daughter.
Kang Jin Gu is 29 years old. He has two younger brothers, Min Gu and Dong Gu. Jin Gu is a tour planner for a large vacation travel agency, and he's popular, self-assured and carefree. Jin Gu falls into a one-sided love for the first time in his life when he confesses his feelings to his friend and co-worker Ma Se Young, but she tells him that she likes someone else, and he doesn't know how to deal with being friend zoned.
Kang Min Gu is 19 years old. He is a hot-tempered high school senior and judo athlete. Min Gu dreams of going to his dream college on a judo scholarship, which means giving his all to win a gold medal in his competitive matches. Min Gu keeps running into a cute but mysterious girl named Han Soo Ah all over town, and he decides that they're fated to be together. But Soo Ah has the entire district's high school boys swooning over her.
Kang Dong Gu is 9 years old. He is a child actor who got famous doing food commercials because of his healthy appetite. Dong Gu suddenly feels threatened when, for the first time ever, he loses a job to a new rival child actor and finds himself in a career slump. The precocious Dong Gu has also been secretly dating 8-year-old child actress Jang Baek Ji for the past two years, but she dumps him for his rival.",https://i.mydramalist.com/jQ60zc.jpg?v=1,9186.0,1638.0
967,chinese paladin,Drama,China,34.0,2005,2250,7.8,827,"Hu Ge,Crystal Liu,Ady An,Eddie Peng,Esther Liu,Deng  Li Min","Historical,Romance,Wuxia,Fantasy "," Eccentric Male Lead,Aggressive Female Lead,Xianxia,Clingy Female Lead,Marriage,Family Secret,Love Triangle,Betrayal,Sci-Fi,Comedy  ","Based on a popular RPG of the same name. The story takes place in a fantasy medieval China that's full of kung fu action, CG special effects, and wacky humor.
Li Xiao Yao, a ""Stinky Punk"", journeys to Dream Island to find a cure for his sick aunt. There he meets and marries the love of his life, Ling'er. On his way back home with the cure, he discovers that he's been tricked by the Lunar Sect Cult so that they can kidnap Ling'er.
He awakens in his bed, having forgotten his entire trip to Dream Island, but having saved his aunt. He rescues Ling'er from the Lunar Sect Cult and is in turn rescued by a mysterious stranger who teaches him kung fu. Xiao Yao and Ling'er travel to the capital to meet her father.
Along the way, they meet various people, get harassed by the Lunar Sect Cult, discover both of their histories, save the world and fall in love with each other all over again. It starts off sweet and lighthearted but ends with plenty of tears.",https://i.mydramalist.com/YEvpec.jpg?v=1,483.0,237.0
968,naked fireman,Drama,South Korea,4.0,2017,5674,7.8,2527,"Lee Joon Hyuk,Jung In Sun,Lee Won Jong,Jo Hee Bong,Seo Jung Yeon,Park Hoon","Thriller,Mystery,Romance,Drama "," Nice Male Lead,Miniseries,Firefighters,Trauma,Rich Woman/Poor Man,Childish Male Lead,Fire Accident,Hardworking Male Lead,Orphan Female Lead,Rich Female Lead  ","Kang Chul Soo is an enthusiastic fireman who poses as a nude model to make money for his sick friend. He is then targeted as the criminal of an arson-murder case that took place 10 years ago, and together with mysterious heiress Han Jin Ah, he tries to find the real culprit.",https://i.mydramalist.com/dzDLbc.jpg?v=1,15919.0,1421.0
969,the fallen leaf,Drama,Thailand,21.0,2019,3094,7.8,1049,"Baifern Pimchanok Luevisadpaibul,Push Puttichai Kasetsin,Sam Yuranunt Pamornmontri,Tangmo Nida Patcharaveerapong,Aun Witaya Wasukraipaisarn,Gypsy Keerati Mahapreukpong","Romance,Melodrama "," Transgender Character,Child Abuse,Forbidden Love,Infidelity,Possessive Wife,Tragic Past,Age Gap,Incest,Revenge,Homophobia  ","Nira is like a young leaf, which is always there beside the flowers but will never be one of them. Her name, Nira, derives from Niranam which means the anonymous one. The story of a boy who is a little girl at heart, he is shattered from not being accepted by anyone but his mother who wholeheartedly loves him. His father is not a very good man, as he loathes him and mistreats his mother. Nira wants his father to be like his uncle-in-law Chatchavee, the only one aside from his mother who is a warm man and cares for him and understands him. Until the forbidden love occurs, Chatchavee happens to notice and cannot answer back this aberrant love, he denies Nira. Nira, deeply crushed and traumatised by this rejection, decides with his mother's support to do something that changes the rest of his life. He undergoes a sex reassignment surgery which completely transforms him into a gorgeous woman. Unfortunately, her mother dies during the operation. Devastated, she runs away from the hospital. The one who finds her and helps her is doctor Benjang, who takes her home. She starts living as his sister.
One day, Nira coincidentally meets Chatchavee. Due to her beauty, he starts to fall for her and also Nira's father. None of them recognise her. The tragedy love begins to be more and more complicated when Nira's aunt, who always looks down on Nira's love and is envious of her, discovers the truth and tries to hinder Nira in every way. How will this story end?",https://i.mydramalist.com/x2mYyc.jpg?v=1,24781.0,483.0
970,mr. nietzsche in the convenience store,Drama,Japan,10.0,2016,2267,7.8,799,"Mamiya Shotaro,Urai Kenji,Matsui Rena,Matsuda  Ryo,Uchida Rio,Sato Jiro",Comedy ," Episodic Format,Adapted From A Manga,Miniseries,Stalker,Convenience Store,Eccentric Male Lead,Web Series  ","Matsukoma-kun, a veteran part-timer and jobless university graduate, finds himself stressed and twisted around by Nietzsche-sensei, his new colleague at the convenience store. Also known as Nii Tomoharu, Nietzsche-sensei is a university student studying Buddhism who has a peculiar way of serving customers.",https://i.mydramalist.com/zngpAc.jpg?v=1,13218.0,279.0
971,the trick of life and love,Drama,China,32.0,2021,3097,7.8,964,"Ji Xiao Bing,Jin Wen Xin,He Xing Yu,Peng Bi Yao,Shi Ming Ze,Yang Yi","Business,Romance,School,Drama "," Amnesia,Car Accident,Bickering Couple,Meet Again,Lying,Sassy Female Lead,Personality Change,Company President (CEO),Secretary,Older Man/Younger Woman  ","When you happen to save the man that annoyed you the most and he wakes up with amnesia, what kind of love-hate relationship will it bring? Domineering CEO Ning Cheng Ming has a reputation for being a professor from hell. After a mysterious car accident, he is saved by Li Qian, a person that he hasn't seen in years. They were enemies. She was a witty student and now an all-around secretary.",https://i.mydramalist.com/2PdXd_4c.jpg?v=1,32900.0,559.0
972,nee ruk nai krong fai,Drama,Thailand,18.0,2019,1382,7.9,378,"Alek Teeradetch Metawarayut,Patricia Tanchanok Good,Pop Thagoon Karnthip,Jeab Lalana Kongtoranin,Deaw Suriyon Aroonwattanakul,Bie Teerapong Leowrakwong","Action,Romance,Drama "," Mafia,Obsession,Childhood Friends,Bisexual Character,Protective Male Lead,Warden,Male Lead Saves Female Lead,Multiple Couples,Nice Male Lead,Adapted From A Novel  ","On her seventh birthday, Chalita's entire family was killed. Kawin/Kevin, was given the option to slay three people in order to protect one. His guilt drove him to distance himself from her.
In her youth, Chalita is adopted by a mysterious stranger who is known as, ""Nai Noi (Young Boss):"" He turns her life around and is her means of support. Kawin moves next door to Chalita and their lives become entangled. Feelings blossom, and happiness is reintroduced to Chalita's life, but Kawin risks losing her, if his secret were to ever be revealed. If Chalita ever recalled the past, he will lose everything.",https://i.mydramalist.com/Ox4RPc.jpg?v=1,20422.0,235.0
973,kanojo wa uso wo aishisugiteru - sidestory,Drama,Japan,10.0,2013,2826,7.9,961,"Satoh Takeru,Miura Shohei,Kubota Masataka,Mizuta Kouki,Asaka Kodai,Ohara Sakurako","Music,Youth ", Adapted From A Manga  ,These are the stories from before Aki and Riko met. Each side story is narrated by different character.,https://i.mydramalist.com/2wE0Oc.jpg?v=1,8762.0,409.0
974,#remolove: futsuu no koi wa jado,Drama,Japan,10.0,2020,1390,7.8,540,"Haru,Takahashi Yuto,Eguchi Noriko,Imai Takafumi,Oikawa Mitsuhiro,Matsushita Kouhei","Comedy,Romance "," Smart Female Lead,Strong Female Lead,Social Media,Eccentric Female Lead,Online Romance,COVID-19,Hardworking Female Lead,Workplace,Nice Male Lead,Polyglot  ","Mimi Ozakura is single and about to turn 29. She works as an occupational health physician at a corporate clinic. She is a perfectionist at her job. She will not compromise a person's health with anyone or for any situation. This is how she picked up the nickname ""Clinic Dictator."" She's busy with work and dealing with situations like the coronavirus outbreak. One day, Mimi Ozakura realizes that she wants to fall in love. She then meets someone on social media. She doesn't know that person's name or what they look like, but she still falls in love with that person. Mimi Ozakura soon realizes that her love interest works at the same company.",https://i.mydramalist.com/vAmqg_4c.jpg?v=1,34843.0,309.0
975,shikaku tantei higurashi tabito,Drama,Japan,9.0,2017,1017,7.8,416,"Matsuzaka Tori,Tabe Mikako,Hamada Gaku,Sumida Moeno,Ueda Tatsuya,Kitaoji Kinya","Mystery,Comedy,Supernatural "," Investigation,Detective,Eccentric Male Lead,Child Female Lead,Miniseries,Disability,Adapted From A Novel  ","This drama follows the relationship between Tabito Higurashi and Yoko Yamakawa. Various mysteries like the tragedy that struck Tabito Higurashi 20 years ago are revealed. 

~~ Adapted from the novel ""Tantei Higurashi Tabito no Sagashimono"" by Kozaburo Yamaguchi.",https://i.mydramalist.com/m7DJ1c.jpg?v=1,15614.0,221.0
976,good luck!!,Drama,Japan,10.0,2003,2433,7.9,1245,"Kimura Takuya,Shibasaki Ko,Tsutsumi Shinichi,Uchiyama Rina,Takenaka Naoto,Kuroki Hitomi","Romance,Life "," Pilot,Aviation,Airplane,Miniseries  ","Having achieved his life-long dream of being a pilot, Hajime is first officer on an international jetliner and is now working to become a captain. He can't seem to please Captain Koda, who has become an exacting taskmaster since an air incident many years ago. To complicate matters, he begins a relationship with stubborn and straight-talking mechanic, Ayumi, whose parents died many years ago in the plane crash for which Captain Koda feels he is responsible. What follows is a story of 21st century love, dreams, and passion.",https://i.mydramalist.com/kLvV8_4c.jpg?v=1,409.0,465.0
977,chasing ball,Drama,China,36.0,2019,3613,7.8,1089,"Bu Guan Jin,Fan Shi Qi,Huang Sheng Chi,Li Yi Tong,Li Wen Han,Ryan Zhu","Comedy,Romance,Youth,Sports "," Height Difference,First Love,Love Triangle,Competition,Injury,Strong Male Lead,Tournament,Male Chases Female First,Enemies To Lovers,Friends To Lovers  ","A story about a group of young people who form a bond because of table tennis. In trying to find the truth from 20 years ago, they become instrumental to reigniting the glory of Tengyuan.

Yan Xiao Xi is a gifted table tennis player, taught by her foster father who was a master in the sport. When she transfers to Tengyuan College, it is only a matter of time before her talent is discovered by Qi Jing Hao, the handsome leader of the Tengyuan Ping Pong club. Qi implores Yan to join the club. He knows that with Yan on board, the Tengyuan Ping Pong club will be changed for the better - and that together, they just might get the chance to take on the National Academy Cup championship.",https://i.mydramalist.com/00vbNc.jpg?v=1,24090.0,467.0
978,melancholia,Drama,South Korea,16.0,2021,11832,7.8,3257,"Im Soo Jung,Lee Do Hyun,Jin Kyung,Choi Dae Hoon,Oh  Gwang Rok ,Woo Da Vi","School,Drama,Melodrama "," Older Woman/Younger Man,Smart Male Lead,Mathematician,Age Gap,Hidden Past,Scandal,Slight Romance,Corruption,Revenge,Dropout  ","A sexual scandal between a math teacher and a student in a prestigious high school ended in tragedy. 4 years later they meet again, now as adults, to reveal the corruption in school and to regain one's reputation as a teacher.  

Ji Yoon Soo is a high school math teacher with a bright smile and a positive impression of others. She is a hard-nosed and stubborn person who has to push ahead with the decisions she has made. She is a math geek who loves solving difficult problems and teaches students to purely love math.

Baek Seung Yoo is emotionless and has no light in his eyes. He used to be a math genius who appeared on a quiz program at the age of five and surprised the world by solving college-level math problems. He was admitted to MIT at the age of 10 but dropped out at the age of 12, and suddenly disappeared.",https://i.mydramalist.com/WDo4P_4c.jpg?v=1,40640.0,1548.0
979,all i want for love is you,Drama,China,32.0,2019,8946,7.8,3904,"Liu Yu Han,Lu Zhao Hua,Liu Yin Jun,Xie Zhi Xun,Sun Yan Qing,Han Xin Yu","Comedy,Romance,School,Drama "," First Love,Student,Fluffy,Medical,High School To Working Life,Smart Male Lead,Trauma,Tomboy,Slow Burn Romance,Love Triangle  ","For third year high school student, Gu Xiao Man, life is anything but normal. A champion in the world of sanda fighting, Xiao Man is a highly decorated Chinese kickboxing fighter. Unfortunately, her performance in the ring is the only place she excels. Struggling through every class, Xiao Man wonders if shes ever going to get the grades she needs to graduate. Lucky for her, one of the schools top students just happens to be in her class and even better, hes willing to tutor her! 

A star in his own right, Zuo An is known as one of the schools resident geniuses. With perfect grades and perfect looks, hes been the object of many girls affections, Xiao Mans included. Focusing on her schoolwork was hard enough when Zuo An was in the same class but now that hes sitting at the same table, Xiao Man is finding it nearly impossible! Little does she know, Zuo An is having a hard time concentrating too! Too distracted to notice her crush crushing on her, Xiao Mans only goal is to work hard and do her best. With Zuo Ans help the two not only graduate, but manage to get into the same university as well.

Now settled into university life, this unlikely pair find themselves growing closer together as their long-harbored feelings for each other begin to come to light. Setting out on this exciting new journey together, will Xiao Man and Zuo Ans relationship finally have a chance to blossom into something special?",https://i.mydramalist.com/vdrqec.jpg?v=1,29379.0,1441.0
980,joseon exorcist,Drama,South Korea,2.0,2021,4236,7.9,856,"Kam Woo Sung,Jang Dong Yoon,Park Sung Hoon,Kim Dong Jun,Jung Hye Sung,Min Jin Woong","Action,Historical,Drama,Fantasy "," Evil Spirit,Joseon Dynasty,Royal Family,Family Relationship,Dark Fantasy,Taejong,Exorcist,Greed,Royalty,Shamanism  ","During the latter part of the 14th century, King Taejong abolished the Goryeon  Dynasty in order to establish Kingdom of Joseon.  Some were aware of the deal he made with an evil spiritwhich in turn used their power to possess humans who would control and terrorize the world. The kings sons, Princes Chungnyung and Yangnyeong, are his main opposition, each with a different reason for standing in his way.",https://i.mydramalist.com/jZz4J_4c.jpg?v=1,32872.0,535.0
981,truth or dare,Drama,China,30.0,2021,6419,7.9,2321,"Teresa Li,Huang Jun Jie,Ding Jia Wen,Sun An Ke,Fan Wei,Dai Ya Qi","Historical,Comedy,Romance "," Married Couple,Arranged Marriage,Hidden Identity,Mistaken Identity,Superhuman Strength,Faked Illness,Fake Physical Disability,Secondary Couple,Royalty,Strong Female Lead  ","A story that follows two couples who mistakenly find themselves in a marriage they never expected and gradually grow in love and trust over time.
The cheerful and clever Xiao Wan Zi grew up as a street performer with her dad selling their special skill of breaking a big stone on the chest. An unexpected encounter utterly changes Xiao Wan Zi's life. Xiao Wan Zi who neither knew how to read nor write suddenly finds herself becoming a princess. Opposed to marrying the princess, Mei San Shao pushes Xiao Wan Zi away in hopes that she'd willingly retreat. Meanwhile, the king has arranged a marriage for Lu Ying Yao, the daughter of the 9th prince. However, bandit Xiao Bao Ye mistakenly takes her as his wife.",https://i.mydramalist.com/kDnr8_4c.jpg?v=1,32255.0,1065.0
